Reference Number,Topic Match Score,Title,Year,Date,Authors,Abstract,Journal,Citation Count,Citation Velocity,DOI,Link,External IDs,Is Open Access,Open Access Link,Semantic Scholar ID,Relevance Summary
"1","100.0","Language Models use Lookbacks to Track Beliefs","2025","2025-05-20","Nikhil Prakash, Natalie Shapira, Arnab Sen Sharma, Christoph Riedl, Yonatan Belinkov, Tamar Rott Shaham, David Bau, Atticus Geiger","How do language models (LMs) represent characters' beliefs, especially when those beliefs may differ from reality? This question lies at the heart of understanding the Theory of Mind (ToM) capabilities of LMs. We analyze Llama-3-70B-Instruct's ability to reason about characters' beliefs using causal mediation and abstraction. We construct a dataset that consists of simple stories where two characters each separately change the state of two objects, potentially unaware of each other's actions. Our investigation uncovered a pervasive algorithmic pattern that we call a lookback mechanism, which enables the LM to recall important information when it becomes necessary. The LM binds each character-object-state triple together by co-locating reference information about them, represented as their Ordering IDs (OIs) in low rank subspaces of the state token's residual stream. When asked about a character's beliefs regarding the state of an object, the binding lookback retrieves the corresponding state OI and then an answer lookback retrieves the state token. When we introduce text specifying that one character is (not) visible to the other, we find that the LM first generates a visibility ID encoding the relation between the observing and the observed character OIs. In a visibility lookback, this ID is used to retrieve information about the observed character and update the observing character's beliefs. Our work provides insights into the LM's belief tracking mechanisms, taking a step toward reverse-engineering ToM reasoning in LMs.","ArXiv","2","4.4","10.48550/arXiv.2505.14685","https://doi.org/10.48550/arXiv.2505.14685","","true","{'url': 'https://arxiv.org/pdf/2505.14685.pdf', 'status': 'GOLD'}","97b64825cb5bca3d3a6d5910efd7c1182a542a01","- Demonstrates a mechanistic account of belief-tracking via lookback mechanisms.
- Uses causal mediation, causal-abstraction alignment, and interchange/patch interventions on Llama-3-70B-Instruct trained on synthetic two‑character CausalToM stories to identify low‑rank Ordering ID (OI) subspaces and lookback read/write patterns that mediate belief answers.
- Provides necessity/sufficiency-style interventions (OI swaps, high‑level/low‑level patching), IIA effect quantification, and generalization checks to larger models/datasets—strongly relevant because it shows localized, causally tested internal variables that mediate referential and truth‑conditional belief content."
"2","100.0","From Directions to Cones: Exploring Multidimensional Representations of Propositional Facts in LLMs","2025","2025-05-27","Stanley Yu, Vaidehi Bulusu, Oscar Yasunaga, Clayton Lau, Cole Blondin, Sean O’brien, Kevin Zhu, Vasu Sharma","Large Language Models (LLMs) exhibit strong conversational abilities but often generate falsehoods. Prior work suggests that the truthfulness of simple propositions can be represented as a single linear direction in a model's internal activations, but this may not fully capture its underlying geometry. In this work, we extend the concept cone framework, recently introduced for modeling refusal, to the domain of truth. We identify multi-dimensional cones that causally mediate truth-related behavior across multiple LLM families. Our results are supported by three lines of evidence: (i) causal interventions reliably flip model responses to factual statements, (ii) learned cones generalize across model architectures, and (iii) cone-based interventions preserve unrelated model behavior. These findings reveal the richer, multidirectional structure governing simple true/false propositions in LLMs and highlight concept cones as a promising tool for probing abstract behaviors.","ArXiv","1","2.3","10.48550/arXiv.2505.21800","https://doi.org/10.48550/arXiv.2505.21800","","true","{'url': 'https://arxiv.org/pdf/2505.21800.pdf', 'status': 'GOLD'}","9c478fbc291d6eb7cebf76b1beb99716e8f4151d","- Demonstrates a multidimensional ""concept cone"" representation mediating truthfulness in LLMs.
- Identifies cone subspaces and uses causal interventions (activation steering, directional ablation/patching) to flip factual responses and test necessity/sufficiency.
- Reports cross‑model generalization and behavioral selectivity; intervention granularity (cone axes, basis ablations) and semantic axis analyses stated — strong mechanistic/causal evidence relevant to intentionality/truth‑conditional mediation."
"3","100.0","The Geometry of Truth: Emergent Linear Structure in Large Language Model Representations of True/False Datasets","2023","2023-10-10","Samuel Marks, Max Tegmark","Large Language Models (LLMs) have impressive capabilities, but are prone to outputting falsehoods. Recent work has developed techniques for inferring whether a LLM is telling the truth by training probes on the LLM's internal activations. However, this line of work is controversial, with some authors pointing out failures of these probes to generalize in basic ways, among other conceptual issues. In this work, we use high-quality datasets of simple true/false statements to study in detail the structure of LLM representations of truth, drawing on three lines of evidence: 1. Visualizations of LLM true/false statement representations, which reveal clear linear structure. 2. Transfer experiments in which probes trained on one dataset generalize to different datasets. 3. Causal evidence obtained by surgically intervening in a LLM's forward pass, causing it to treat false statements as true and vice versa. Overall, we present evidence that at sufficient scale, LLMs linearly represent the truth or falsehood of factual statements. We also show that simple difference-in-mean probes generalize as well as other probing techniques while identifying directions which are more causally implicated in model outputs.","ArXiv","277","134.2","10.48550/arXiv.2310.06824","https://doi.org/10.48550/arXiv.2310.06824","","true","{'url': 'https://arxiv.org/pdf/2310.06824.pdf', 'status': 'GOLD'}","d59523889679aee15992c4bf6e52b134186d07d3","- Demonstrates a linear “truth direction” in LLM activations.
- Visualizes representations, trains linear/mass-mean probes that transfer across datasets, and performs forward-pass activation interventions flipping truth judgments.
- Causal interventions (activation/mean-shift) support mediation claims, but scope is simple true/false sentences, limited model scales (mainly LLaMA‑13B), and remaining confounds (e.g., “truth” vs correlated signals, probe bias underdetermination)."
"4","100.0","How do Language Models Bind Entities in Context?","2023","2023-10-26","Jiahai Feng, Jacob Steinhardt","To correctly use in-context information, language models (LMs) must bind entities to their attributes. For example, given a context describing a""green square""and a""blue circle"", LMs must bind the shapes to their respective colors. We analyze LM representations and identify the binding ID mechanism: a general mechanism for solving the binding problem, which we observe in every sufficiently large model from the Pythia and LLaMA families. Using causal interventions, we show that LMs' internal activations represent binding information by attaching binding ID vectors to corresponding entities and attributes. We further show that binding ID vectors form a continuous subspace, in which distances between binding ID vectors reflect their discernability. Overall, our results uncover interpretable strategies in LMs for representing symbolic knowledge in-context, providing a step towards understanding general in-context reasoning in large-scale LMs.","ArXiv","52","25.7","10.48550/arXiv.2310.17191","https://doi.org/10.48550/arXiv.2310.17191","","true","{'url': 'https://arxiv.org/pdf/2310.17191.pdf', 'status': 'GOLD'}","6d130ebff26dbbf00e3c601973872ff0c0c4235f","- Demonstrates a causal binding‑ID mechanism for entity–attribute binding in large LMs.
- Uses representational analyses plus causal interventions (activation manipulations/patching) on Pythia and LLaMA to show internal binding ID vectors that drive outputs.
- Relevant: provides necessity/sufficiency-style intervention evidence for interpretable, continuous subspace encodings of referents; focuses on larger models and on representation existence (not full circuit decomposition or multimodal/ truth‑conditional content)."
"5","100.0","Causal Abstractions of Neural Networks","2021","2021-06-06","Atticus Geiger, Hanson Lu, Thomas F. Icard, Christopher Potts","Structural analysis methods (e.g., probing and feature attribution) are increasingly important tools for neural network analysis. We propose a new structural analysis method grounded in a formal theory of causal abstraction that provides rich characterizations of model-internal representations and their roles in input/output behavior. In this method, neural representations are aligned with variables in interpretable causal models, and then interchange interventions are used to experimentally verify that the neural representations have the causal properties of their aligned variables. We apply this method in a case study to analyze neural models trained on Multiply Quantified Natural Language Inference (MQNLI) corpus, a highly complex NLI dataset that was constructed with a tree-structured natural logic causal model. We discover that a BERT-based model with state-of-the-art performance successfully realizes parts of the natural logic model's causal structure, whereas a simpler baseline model fails to show any such structure, demonstrating that BERT representations encode the compositional structure of MQNLI.","","285","64.7","","https://arxiv.org/abs/2106.02997","","true","{'url': 'https://arxiv.org/pdf/2106.02997.pdf', 'status': 'GOLD'}","5951ede73a1dbb9c5ea8b4d95f31c5ed646aacbd","- Demonstrates a formal causal-abstraction method aligning neural states to interpretable causal variables.
- Aligns neural representations to a tree-structured natural-logic model and uses interchange interventions (representation swapping) to test causal equivalence.
- Case study: BERT partially realizes MQNLI's compositional causal structure (interchange shows necessity/sufficiency for some variables); contrasts with LSTM; argues this goes beyond probes but requires hypothesized high‑level model."
"6","100.0","Mixing Mechanisms: How Language Models Retrieve Bound Entities In-Context","2025","2025-10-07","Yoav Gur-Arieh, Mor Geva, Atticus Geiger","A key component of in-context reasoning is the ability of language models (LMs) to bind entities for later retrieval. For example, an LM might represent""Ann loves pie""by binding""Ann""to""pie"", allowing it to later retrieve""Ann""when asked""Who loves pie?""Prior research on short lists of bound entities found strong evidence that LMs implement such retrieval via a positional mechanism, where""Ann""is retrieved based on its position in context. In this work, we find that this mechanism generalizes poorly to more complex settings; as the number of bound entities in context increases, the positional mechanism becomes noisy and unreliable in middle positions. To compensate for this, we find that LMs supplement the positional mechanism with a lexical mechanism (retrieving""Ann""using its bound counterpart""pie"") and a reflexive mechanism (retrieving""Ann""through a direct pointer). Through extensive experiments on nine models and ten binding tasks, we uncover a consistent pattern in how LMs mix these mechanisms to drive model behavior. We leverage these insights to develop a causal model combining all three mechanisms that estimates next token distributions with 95% agreement. Finally, we show that our model generalizes to substantially longer inputs of open-ended text interleaved with entity groups, further demonstrating the robustness of our findings in more natural settings. Overall, our study establishes a more complete picture of how LMs bind and retrieve entities in-context.","ArXiv","0","0","","https://arxiv.org/abs/2510.06182","","true","{'url': 'https://arxiv.org/pdf/2510.06182.pdf', 'status': 'GOLD'}","15282023539b6d7878e42c538eb0b4e9f3e51579","- Demonstrates a mechanistic account of how LMs bind and retrieve entities in-context.
- Uses counterfactual input pairs and extensive interchange interventions/patching on residual-stream vectors to identify positional, lexical, and reflexive retrieval mechanisms and fit a P/L/R mixture causal model predicting next-token logits (~95% agreement).
- Relevant because it performs localized causal interventions across layers and models to show necessity/sufficiency of internal signals for referent retrieval, but scope is largely entity-binding (who/what retrieval) rather than broader truth‑conditional propositional content or multimodal/agentic grounding."
"7","100.0","Truth-value judgment in language models:'truth directions'are context sensitive","2024","2024-04-29","Stefan F. Schouten, Peter Bloem, Ilia Markov, Piek Vossen","Recent work has demonstrated that the latent spaces of large language models (LLMs) contain directions predictive of the truth of sentences. Multiple methods recover such directions and build probes that are described as uncovering a model's""knowledge""or""beliefs"". We investigate this phenomenon, looking closely at the impact of context on the probes. Our experiments establish where in the LLM the probe's predictions are (most) sensitive to the presence of related sentences, and how to best characterize this kind of sensitivity. We do so by measuring different types of consistency errors that occur after probing an LLM whose inputs consist of hypotheses preceded by (negated) supporting and contradicting sentences. We also perform a causal intervention experiment, investigating whether moving the representation of a premise along these truth-value directions influences the position of an entailed or contradicted sentence along that same direction. We find that the probes we test are generally context sensitive, but that contexts which should not affect the truth often still impact the probe outputs. Our experiments show that the type of errors depend on the layer, the model, and the kind of data. Finally, our results suggest that truth-value directions are causal mediators in the inference process that incorporates in-context information.","ArXiv","0","0","","https://arxiv.org/abs/2404.18865","","true","{'url': 'https://arxiv.org/pdf/2404.18865.pdf', 'status': 'GOLD'}","844794bee0c24ba8be1ed94b07fba6eb42665cfc","- Demonstrates that LLM latent-space ""truth/belief directions"" are context‑sensitive.
- Probes linear truth-value directions across layers, measures consistency/responsiveness to supporting/negating contexts, and performs representation shifts to test causal mediation.
- Finds probes often change with irrelevant context, errors vary by layer/model/training, and intervention results suggest truth directions can be causal mediators—but not fully stable or context-invariant."
"8","99.9","Truth-value judgment in language models: belief directions are context sensitive","2024","","Stefan F. Schouten, Peter Bloem, Ilia Markov, Piek Vossen","Recent work has demonstrated that the latent spaces of large language models (LLMs) contain directions predictive of the truth of sentences. Multiple methods recover such directions and build probes that are described as getting at a model's""knowledge""or""beliefs"". We investigate this phenomenon, looking closely at the impact of context on the probes. Our experiments establish where in the LLM the probe's predictions can be described as being conditional on the preceding (related) sentences. Specifically, we quantify the responsiveness of the probes to the presence of (negated) supporting and contradicting sentences, and score the probes on their consistency. We also perform a causal intervention experiment, investigating whether moving the representation of a premise along these belief directions influences the position of the hypothesis along that same direction. We find that the probes we test are generally context sensitive, but that contexts which should not affect the truth often still impact the probe outputs. Our experiments show that the type of errors depend on the layer, the (type of) model, and the kind of data. Finally, our results suggest that belief directions are (one of the) causal mediators in the inference process that incorporates in-context information.","ArXiv","2","1.1","10.48550/arXiv.2404.18865","https://doi.org/10.48550/arXiv.2404.18865","","false","","85e5095b056f3895c3f3a5e5153f70cff606f86d","- Demonstrates that LLM latent “belief directions” encode context‑sensitive truth signals.
- Tests linear probes (logistic, CCS/variant, MMP) across layers/models and shows probe outputs shift with supporting/contradicting/negated context; performs an intervention that moves a premise along the belief direction and measures corresponding shifts in the hypothesis.
- Relevant: provides causal mediation evidence (single‑direction activation steering) but stops short of full mechanistic circuit/path analyses, has layer/model/data dependencies, and notes limitations—so it's somewhat relevant (causal but limited in scope and depth)."
"9","99.9","Latent Causal Probing: A Formal Perspective on Probing with Causal Models of Data","2024","2024-07-18","Charles Jin, Martin Rinard","As language models (LMs) deliver increasing performance on a range of NLP tasks, probing classifiers have become an indispensable technique in the effort to better understand their inner workings. A typical setup involves (1) defining an auxiliary task consisting of a dataset of text annotated with labels, then (2) supervising small classifiers to predict the labels from the representations of a pretrained LM as it processed the dataset. A high probing accuracy is interpreted as evidence that the LM has learned to perform the auxiliary task as an unsupervised byproduct of its original pretraining objective. Despite the widespread usage of probes, however, the robust design and analysis of probing experiments remains a challenge. We develop a formal perspective on probing using structural causal models (SCM). Specifically, given an SCM which explains the distribution of tokens observed during training, we frame the central hypothesis as whether the LM has learned to represent the latent variables of the SCM. Empirically, we extend a recent study of LMs in the context of a synthetic grid-world navigation task, where having an exact model of the underlying causal structure allows us to draw strong inferences from the result of probing experiments. Our techniques provide robust empirical evidence for the ability of LMs to induce the latent concepts underlying text.","ArXiv","3","2.3","10.48550/arXiv.2407.13765","https://doi.org/10.48550/arXiv.2407.13765","","true","{'url': 'https://arxiv.org/pdf/2407.13765.pdf', 'status': 'GOLD'}","eca3d92e298f1f042cae4ee55257f2d9ceb2182b","- Proposes a formal latent-causal probing framework using structural causal models.  
- Frames probing as testing whether pretrained LMs represent SCM latent variables, adding causal mediation analyses to isolate LM-internal mediation from probe effects.  
- Evaluated on a synthetic grid-world with known latent states; provides necessity/mediation tests (not just decodability) and probe-confound controls, but uses synthetic tasks rather than large multimodal/agentic LLMs."
"10","99.9","Investigating Mechanisms for In-Context Vision Language Binding","2025","2025-05-28","Darshana Saravanan, Makarand Tapaswi, Vineet Gandhi","To understand a prompt, Vision-Language models (VLMs) must perceive the image, comprehend the text, and build associations within and across both modalities. For instance, given an ‘image of a red toy car’, the model should associate this image to phrases like ‘car’, ‘red toy’, ‘red object’, etc. Feng and Steinhardt [4] propose the Binding ID mechanism in LLMs, suggesting that the entity and its corresponding attribute tokens share a Binding ID in the model activations. We investigate this for image-text binding in VLMs using a synthetic dataset and task that requires models to associate 3D objects in an image with their descriptions in the text. Our experiments demonstrate that VLMs assign a distinct Binding ID to an object's image tokens and its textual references, enabling in-context association.","2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)","0","0","10.1109/CVPRW67362.2025.00476","https://doi.org/10.1109/CVPRW67362.2025.00476","","true","{'url': 'https://arxiv.org/pdf/2505.22200.pdf', 'status': 'GOLD'}","ef8e945007f6a466c4daee221a40da04e5d39208","- Demonstrates a Binding‑ID style mechanism for image–text association in VLMs.
- Adapts Feng & Steinhardt’s causal‑mediation Binding ID protocol on a synthetic 3D “Shapes” QA task, inspecting residual‑stream token activations across visual encoder → projector → LLM to find linking subspaces/vectors.
- Uses controlled synthetic data and token‑level interventions/analyses showing image patches and textual mentions share distinct binding vectors/subspaces; check whether interventions test necessity/sufficiency and path‑restricted patching—paper claims causal mediation but may not report exhaustive sufficiency/robustness controls across paraphrases, modalities, or counterfactuals."
